name,code1,code2,code3,code4,code5,code6,code7,code8,code9,code10,code11,code12,code13,code14,code15,code16,code17,code18,code19,code20,code21
"Alasande (Kan.)", B005,B006,,,,,,,,,,,,,,,,,,,
"Ale (Mar.)", G014,,,,,,,,,,,,,,,,,,,,
"Alechi (G.)", G020,,,,,,,,,,,,,,,,,,,,
"Alectis indicus (Sci.)", P025,,,,,,,,,,,,,,,,,,,,
"Ali vidai (Tam.)", H014,,,,,,,,,,,,,,,,,,,,
"Alivirai (Mal., Tam.)", H008,,,,,,,,,,,,,,,,,,,,
"Alivirai cheera (Mal.)", C021,,,,,,,,,,,,,,,,,,,,
"Alivirai keerai (Tam.)", C021,,,,,,,,,,,,,,,,,,,,
"Allam (Tel.)", G014,,,,,,,,,,,,,,,,,,,,
"Allathi(Common)", P001,,,,,,,,,,,,,,,,,,,,
"Allibija (Kan.)", H008,,,,,,,,,,,,,,,,,,,,
"Allibija soppu (Kan.)", C021,,,,,,,,,,,,,,,,,,,,
"Allium cepa (Sci.)", G017, G018,,,,,,,,,,,,,,,,,,,
"Allium sativum (Sci.)", G011, G012, G013,,,,,,,,,,,,,,,,,,
"Allium wakegi (Sci.)", D058,,,,,,,,,,,,,,,,,,,,
"Almon (Kh.)", H001,,,,,,,,,,,,,,,,,,,,
"Almond(Common)", H001,,,,,,,,,,,,,,,,,,,,
"Aloo (A., M.)", F007, F008,,,,,,,,,,,,,,,,,,,
"Aloo (M.)", I001 ,,,,,,,,,,,,,,,,,,,,
"Aloobhukhara (P.)", E054,,,,,,,,,,,,,,,,,,,,
"Alsi (H., P.)", H014,,,,,,,,,,,,,,,,,,,,
"Alsi (P.)", H014,,,,,,,,,,,,,,,,,,,,
"Alsi (U.)", H014,,,,,,,,,,,,,,,,,,,,
"Alternanthera sessilis(Sci.)", C029,,,,,,,,,,,,,,,,,,,,
"Alu (H., Kon., N., O., P., U.)", F006, F007, F008,,,,,,,,,,,,,,,,,,
"Alu kanda (Mar.)", F004,,,,,,,,,,,,,,,,,,,,
"Alu pan (Mar.)", C018,,,,,,,,,,,,,,,,,,,,
"Alubokhara (B.,G,H)", E054,,,,,,,,,,,,,,,,,,,,
"Alu-che-dath (Mar.)", D040, D041,,,,,,,,,,,,,,,,,,,
"Alugadda (Kan.)", F006, F007, F008,,,,,,,,,,,,,,,,,,
"Aluterus monoceros (Sci.)", P011,,,,,,,,,,,,,,,,,,,,
"Aluva (Common)", P002,,,,,,,,,,,,,,,,,,,,
"Amada (B.)", G015,,,,,,,,,,,,,,,,,,,,
"Amarakka (Mal.)", D032,,,,,,,,,,,,,,,,,,,,
"Amaranth seed, black (Common)", A001,,,,,,,,,,,,,,,,,,,,
"Amaranth seed, pale brown (Common)", A002,,,,,,,,,,,,,,,,,,,,
"Amaranth spinosus (Sci.)", C005, C006,,,,,,,,,,,,,,,,,,,
"Amaranth, spinous, leaves, green (Common)", C005,,,,,,,,,,,,,,,,,,,,
"Amaranth, spinous, leaves, red and green (Common)", C006,,,,,,,,,,,,,,,,,,,,
